Source: USDA National Nutrient Database for Standard Reference 28 slightly revised May 2016 Software v.2.6.1
Full Report (All Nutrients)
Report Run at: July 17, 2016 19:59 EDT
"Nutrient data for: 01001, Butter, salted"
Food Group:  Dairy and Egg Products
Common Name:
Carbohydrate Factor: 3.87 Fat Factor: 8.79 Protein Factor: 4.27 Nitrogen to Protein Conversion Factor: 6.38 
Nutrient,Unit,1Value per 100 g,Data points,Std. Error,"1 pat (1"" sq, 1/3"" high) = 5.0g","1 tbsp = 14.2g","1 cup = 227.0g","1 stick = 113.0g",
Proximates
"Water",g,15.87,522,0.061,0.79,2.25,36.02,17.93
"Energy",kcal,717,--,--,36,102,1628,810
"Energy",kJ,2999,--,--,150,426,6808,3389
"Protein",g,0.85,16,0.074,0.04,0.12,1.93,0.96
"Total lipid (fat)",g,81.11,580,0.065,4.06,11.52,184.12,91.65
"Ash",g,2.11,35,0.054,0.11,0.30,4.79,2.38
"Carbohydrate, by difference",g,0.06,--,--,0.00,0.01,0.14,0.07
"Fiber, total dietary",g,0.0,--,--,0.0,0.0,0.0,0.0
"Sugars, total",g,0.06,--,--,0.00,0.01,0.14,0.07
Minerals
"Calcium, Ca",mg,24,17,0.789,1,3,54,27
"Iron, Fe",mg,0.02,18,0.011,0.00,0.00,0.05,0.02
"Magnesium, Mg",mg,2,18,0.047,0,0,5,2
"Phosphorus, P",mg,24,17,0.463,1,3,54,27
"Potassium, K",mg,24,18,0.622,1,3,54,27
"Sodium, Na",mg,643,--,--,32,91,1460,727
"Zinc, Zn",mg,0.09,18,0.011,0.00,0.01,0.20,0.10
"Copper, Cu",mg,0.000,18,0.000,0.000,0.000,0.000,0.000
"Manganese, Mn",mg,0.000,18,0.000,0.000,0.000,0.000,0.000
"Selenium, Se",µg,1.0,37,0.820,0.0,0.1,2.3,1.1
"Fluoride, F",µg,2.8,19,0.674,0.1,0.4,6.4,3.2
Vitamins
"Vitamin C, total ascorbic acid",mg,0.0,--,--,0.0,0.0,0.0,0.0
"Thiamin",mg,0.005,3,0.001,0.000,0.001,0.011,0.006
"Riboflavin",mg,0.034,9,0.004,0.002,0.005,0.077,0.038
"Niacin",mg,0.042,2,--,0.002,0.006,0.095,0.047
"Pantothenic acid",mg,0.110,--,--,0.006,0.016,0.250,0.124
"Vitamin B-6",mg,0.003,1,--,0.000,0.000,0.007,0.003
"Folate, total",µg,3,2,--,0,0,7,3
"Folic acid",µg,0,--,--,0,0,0,0
"Folate, food",µg,3,2,--,0,0,7,3
"Folate, DFE",µg,3,--,--,0,0,7,3
"Choline, total",mg,18.8,--,--,0.9,2.7,42.7,21.2
"Betaine",mg,0.3,1,--,0.0,0.0,0.7,0.3
"Vitamin B-12",µg,0.17,4,--,0.01,0.02,0.39,0.19
"Vitamin B-12, added",µg,0.00,--,--,0.00,0.00,0.00,0.00
"Vitamin A, RAE",µg,684,--,--,34,97,1553,773
"Retinol",µg,671,--,--,34,95,1523,758
"Carotene, beta",µg,158,2,--,8,22,359,179
"Carotene, alpha",µg,0,2,--,0,0,0,0
"Cryptoxanthin, beta",µg,0,2,--,0,0,0,0
"Vitamin A, IU",IU,2499,--,--,125,355,5673,2824
"Lycopene",µg,0,2,--,0,0,0,0
"Lutein + zeaxanthin",µg,0,2,--,0,0,0,0
"Vitamin E (alpha-tocopherol)",mg,2.32,1,--,0.12,0.33,5.27,2.62
"Vitamin E, added",mg,0.00,--,--,0.00,0.00,0.00,0.00
"Tocopherol, beta",mg,0.00,1,--,0.00,0.00,0.00,0.00
"Tocopherol, gamma",mg,0.00,1,--,0.00,0.00,0.00,0.00
"Tocopherol, delta",mg,0.00,1,--,0.00,0.00,0.00,0.00
"Vitamin D (D2 + D3)",µg,0.0,--,--,0.0,0.0,0.0,0.0
"Vitamin D2 (ergocalciferol)",µg,0.0,--,--,0.0,0.0,0.0,0.0
"Vitamin D3 (cholecalciferol)",µg,0.0,--,--,0.0,0.0,0.0,0.0
"Vitamin D",IU,0,--,--,0,0,0,0
"Vitamin K (phylloquinone)",µg,7.0,1,--,0.4,1.0,15.9,7.9
Lipids
"Fatty acids, total saturated",g,51.368,--,--,2.568,7.294,116.605,58.046
"4:0",g,3.226,3,0.120,0.161,0.458,7.323,3.645
"6:0",g,2.007,3,0.038,0.100,0.285,4.556,2.268
"8:0",g,1.190,3,0.016,0.059,0.169,2.701,1.345
"10:0",g,2.529,3,0.033,0.126,0.359,5.741,2.858
"12:0",g,2.587,3,0.046,0.129,0.367,5.872,2.923
